corpus,arch,replicate,cell,input,loss,weight_decay,layer_decay,pool,epochs,epochs_run,macro_map,micro_map,macro_f1s,top_1_rec,top_3_rec,top_5_rec,normalization,checkpoint
amass_clean,medium_100ep_simmim,seed1,in_p__loss_pkd,p,pkd,,0.5,attentive,100,46,0.36199861764907837,0.5463904738426208,0.2961927652359009,0.28197720646858215,0.5316160917282104,0.6440379023551941,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_100ep_simmim/seed1/in_p__loss_pkd/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_100ep_simmim,seed1,in_pk__loss_p,pk,p,,0.5,attentive,100,58,0.3455798029899597,0.5280123949050903,0.2692396938800812,0.2747552692890167,0.5149253606796265,0.6311988234519958,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_100ep_simmim/seed1/in_pk__loss_p/lightning_logs/version_0/checkpoints/epoch=94-step=10925.ckpt
amass_clean,medium_100ep_simmim,seed1,in_pk__loss_pk,pk,pk,,0.5,attentive,100,53,0.3835088312625885,0.5585136413574219,0.33565181493759155,0.2860696613788605,0.5357887744903564,0.6505376100540161,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_100ep_simmim/seed1/in_pk__loss_pk/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_100ep_simmim,seed1,in_pk__loss_pkd,pk,pkd,,0.5,attentive,100,45,0.37099504470825195,0.5461453199386597,0.326344758272171,0.2839030623435974,0.5315358638763428,0.6458032131195068,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_100ep_simmim/seed1/in_pk__loss_pkd/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_100ep_simmim,seed1,in_pkd__loss_p,pkd,p,,0.5,attentive,100,63,0.34090322256088257,0.5308737754821777,0.29382914304733276,0.27282941341400146,0.5227892994880676,0.6308778524398804,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_100ep_simmim/seed1/in_pkd__loss_p/lightning_logs/version_0/checkpoints/epoch=94-step=10925.ckpt
amass_clean,medium_100ep_simmim,seed1,in_pkd__loss_pk,pkd,pk,,0.5,attentive,100,61,0.36590638756752014,0.5486481785774231,0.32670509815216064,0.2816562354564667,0.5292890667915344,0.6474883556365967,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_100ep_simmim/seed1/in_pkd__loss_pk/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_clean,medium_100ep_simmim,seed1,in_pkd__loss_pkd,pkd,pkd,,0.5,attentive,100,47,0.3727858364582062,0.5547263622283936,0.30233627557754517,0.2839030623435974,0.5329802632331848,0.64805006980896,pretrain_v1_stats_train_clean.pt,runs/pretrain/amass_clean/medium_100ep_simmim/seed1/in_pkd__loss_pkd/lightning_logs/version_0/checkpoints/epoch=99-step=11500.ckpt
amass_smpl,medium_100ep,seed1,in_p__loss_p,p,p,,0.5,attentive,100,37,0.3621933162212372,0.54063880443573,0.2896544337272644,0.2817646563053131,0.525629997253418,0.6378728747367859,pretrain_paired_v1_train_clean.pt,runs/pretrain/amass_smpl/medium_100ep/seed1/lightning_logs/version_0/checkpoints/epoch=99-step=13600.ckpt
amass_smpl,medium_100ep_jepa,seed1,in_p,p,,,0.5,attentive,100,44,0.32992517948150635,0.5062296390533447,0.27861106395721436,0.2645016312599182,0.49546927213668823,0.6137310862541199,pretrain_paired_v1_train_clean.pt,runs/pretrain/amass_smpl/medium_100ep_jepa/seed1/lightning_logs/version_0/checkpoints/epoch=94-step=12920.ckpt
amass_smpl,medium_100ep_simmim,seed1,in_p__loss_p,p,p,,0.5,attentive,100,60,0.3580420911312103,0.5181020498275757,0.33177900314331055,0.2701898217201233,0.5121370553970337,0.6212712526321411,pretrain_paired_v1_train_clean.pt,runs/pretrain/amass_smpl/medium_100ep_simmim/seed1/lightning_logs/version_0/checkpoints/epoch=99-step=13600.ckpt
